algorithm_name,env_n,size,best_solution,H,states,time
aleatorio,0,4,"[2, 0, 3, 1]",0,68,0.0003151893615722656
aleatorio,1,4,"[2, 0, 3, 1]",0,21,0.00010275840759277344
aleatorio,2,4,"[2, 0, 1, 3]",1,101,0.0004227161407470703
aleatorio,3,4,"[2, 0, 3, 1]",0,27,0.00011301040649414062
aleatorio,4,4,"[1, 2, 0, 3]",1,101,0.0004239082336425781
aleatorio,5,4,"[0, 2, 3, 1]",1,101,0.0004191398620605469
aleatorio,6,4,"[3, 1, 0, 2]",1,101,0.000415802001953125
aleatorio,7,4,"[2, 1, 3, 0]",1,101,0.0004241466522216797
aleatorio,8,4,"[3, 1, 0, 2]",1,101,0.00041937828063964844
aleatorio,9,4,"[0, 3, 1, 2]",1,101,0.0004220008850097656
aleatorio,10,4,"[0, 0, 3, 1]",1,101,0.0004096031188964844
aleatorio,11,4,"[0, 3, 0, 2]",1,101,0.0004124641418457031
aleatorio,12,4,"[1, 3, 0, 2]",0,99,0.0004029273986816406
aleatorio,13,4,"[3, 1, 0, 2]",1,101,0.00041413307189941406
aleatorio,14,4,"[1, 3, 0, 2]",0,63,0.0002605915069580078
aleatorio,15,4,"[0, 3, 0, 2]",1,101,0.0004165172576904297
aleatorio,16,4,"[1, 3, 0, 2]",0,91,0.00036597251892089844
aleatorio,17,4,"[3, 0, 3, 1]",1,101,0.0004115104675292969
aleatorio,18,4,"[0, 2, 3, 1]",1,101,0.00041961669921875
aleatorio,19,4,"[1, 3, 0, 2]",0,61,0.00025653839111328125
aleatorio,20,4,"[1, 3, 2, 0]",1,101,0.00041174888610839844
aleatorio,21,4,"[1, 3, 0, 2]",0,29,0.00011539459228515625
aleatorio,22,4,"[1, 3, 0, 2]",0,9,3.7670135498046875e-05
aleatorio,23,4,"[2, 0, 3, 1]",0,43,0.00017547607421875
aleatorio,24,4,"[2, 0, 3, 3]",1,101,0.0004150867462158203
aleatorio,25,4,"[0, 3, 1, 2]",1,101,0.00041604042053222656
aleatorio,26,4,"[1, 3, 0, 2]",0,47,0.00019311904907226562
aleatorio,27,4,"[1, 3, 0, 2]",0,16,6.580352783203125e-05
aleatorio,28,4,"[1, 3, 0, 2]",0,43,0.00017499923706054688
aleatorio,29,4,"[2, 0, 3, 1]",0,11,4.506111145019531e-05
aleatorio,0,8,"[6, 0, 1, 6, 4, 7, 7, 3]",3,101,0.0010848045349121094
aleatorio,1,8,"[1, 6, 4, 7, 0, 5, 6, 4]",4,101,0.0010981559753417969
aleatorio,2,8,"[4, 7, 0, 4, 1, 5, 3, 2]",3,101,0.0010685920715332031
aleatorio,3,8,"[6, 2, 0, 5, 5, 4, 1, 7]",3,101,0.0010728836059570312
aleatorio,4,8,"[2, 0, 7, 3, 5, 0, 1, 4]",3,101,0.0010688304901123047
aleatorio,5,8,"[7, 3, 0, 6, 7, 5, 6, 1]",4,101,0.0010669231414794922
aleatorio,6,8,"[6, 5, 1, 1, 6, 0, 3, 7]",3,101,0.0010788440704345703
aleatorio,7,8,"[3, 7, 0, 7, 5, 1, 1, 6]",2,101,0.0010654926300048828
aleatorio,8,8,"[3, 1, 4, 2, 5, 3, 1, 0]",3,101,0.0010805130004882812
aleatorio,9,8,"[6, 3, 2, 0, 5, 1, 5, 1]",4,101,0.0010700225830078125
aleatorio,10,8,"[6, 3, 0, 0, 7, 4, 1, 1]",2,101,0.0010771751403808594
aleatorio,11,8,"[6, 1, 6, 6, 3, 0, 4, 4]",4,101,0.0010540485382080078
aleatorio,12,8,"[2, 5, 3, 6, 0, 2, 4, 7]",1,101,0.0010738372802734375
aleatorio,13,8,"[0, 0, 5, 5, 2, 7, 7, 3]",4,101,0.0010633468627929688
aleatorio,14,8,"[0, 3, 6, 7, 5, 1, 4, 1]",4,101,0.0010638236999511719
aleatorio,15,8,"[6, 0, 1, 7, 4, 6, 3, 2]",3,101,0.0010902881622314453
aleatorio,16,8,"[2, 2, 3, 6, 0, 5, 1, 6]",3,101,0.0010673999786376953
aleatorio,17,8,"[1, 7, 2, 3, 7, 0, 4, 0]",3,101,0.0010709762573242188
aleatorio,18,8,"[6, 5, 1, 4, 7, 2, 3, 7]",4,101,0.0010633468627929688
aleatorio,19,8,"[7, 1, 6, 2, 0, 6, 4, 0]",3,101,0.001058340072631836
aleatorio,20,8,"[2, 6, 1, 7, 4, 3, 0, 5]",2,101,0.0010619163513183594
aleatorio,21,8,"[4, 6, 3, 1, 7, 7, 2, 2]",3,101,0.0010616779327392578
aleatorio,22,8,"[1, 3, 7, 4, 2, 0, 2, 4]",3,101,0.0010645389556884766
aleatorio,23,8,"[1, 2, 0, 7, 4, 1, 3, 0]",3,101,0.0010726451873779297
aleatorio,24,8,"[5, 5, 0, 6, 0, 7, 7, 1]",3,101,0.0010666847229003906
aleatorio,25,8,"[5, 4, 2, 5, 6, 1, 3, 0]",3,101,0.001065969467163086
aleatorio,26,8,"[6, 2, 0, 2, 4, 5, 1, 3]",3,101,0.0010576248168945312
aleatorio,27,8,"[7, 3, 1, 6, 2, 3, 7, 4]",3,101,0.0010669231414794922
aleatorio,28,8,"[2, 7, 1, 3, 5, 0, 2, 4]",2,101,0.0010612010955810547
aleatorio,29,8,"[5, 0, 4, 1, 0, 2, 3, 7]",3,101,0.0010707378387451172
aleatorio,0,10,"[6, 4, 2, 8, 0, 7, 1, 5, 0, 8]",4,101,0.0015301704406738281
