seed,exito,tiempo,nodos_explorados
0,1,0.001949310302734375,439
1,1,0.004370212554931641,1523
2,1,0.0031218528747558594,975
3,1,0.009540796279907227,1502
4,1,0.008145809173583984,1502
5,1,0.002695322036743164,906
6,1,0.003465414047241211,906
7,1,0.003777742385864258,740
8,1,0.005158185958862305,1502
9,1,0.0008606910705566406,238
10,1,0.003160715103149414,906
11,1,0.0009477138519287109,238
12,1,0.0008895397186279297,238
13,1,0.002196788787841797,601
14,1,0.003185272216796875,1104
15,1,0.004239082336425781,1502
16,1,0.001996755599975586,740
17,1,0.0014052391052246094,587
18,1,0.0032088756561279297,1523
19,1,0.0018320083618164062,975
20,1,0.0031440258026123047,1523
21,1,0.0031554698944091797,1523
22,1,0.003123044967651367,1523
23,1,0.001318216323852539,601
24,1,0.0009517669677734375,439
25,1,0.0009560585021972656,439
26,1,0.0031473636627197266,1502
27,1,0.0005369186401367188,238
28,1,0.002112865447998047,1104
29,1,0.0012404918670654297,587
