seed,exito,tiempo,nodos_explorados
0,1,0.0004982948303222656,34
1,1,0.00022482872009277344,15
2,1,0.0004589557647705078,40
3,1,0.0006804466247558594,64
4,1,0.0017733573913574219,172
5,1,0.0002276897430419922,15
6,1,0.0002720355987548828,20
7,1,0.00021576881408691406,15
8,1,0.0005753040313720703,53
9,1,0.0005598068237304688,51
10,1,0.00042939186096191406,37
11,1,0.0014014244079589844,141
12,1,0.00021910667419433594,15
13,1,0.0006282329559326172,60
14,1,0.00029087066650390625,24
15,1,0.0007765293121337891,72
16,1,0.0007076263427734375,68
17,1,0.0008015632629394531,77
18,1,0.0021386146545410156,206
19,1,0.00047206878662109375,44
20,1,0.0005044937133789062,44
21,1,0.00021648406982421875,15
22,1,0.00043487548828125,39
23,1,0.0018856525421142578,182
24,1,0.0009706020355224609,96
25,1,0.00025272369384765625,20
26,1,0.0006132125854492188,58
27,1,0.0007505416870117188,70
28,1,0.00020694732666015625,15
29,1,0.00029349327087402344,23
